name,rating,reviews,phone,address,website,email,secteur_naf,tranche_effectif,dirigeant
TK Toiture : Couvreur Périgueux Dordogne 24,"5,0",198,06 41 24 20 22,7 Rue de la Bride,https://tktoiture.fr/,tktoiture24@gmail.com,non trouvé au registre,,
CHOURY SARL,"5,0",112,05 53 05 03 07,1 Rte Nationale,http://www.choury.fr/,,43.22A — Travaux d'installation d'eau et de gaz en tous locaux,1 à 2 salariés,MURIELLE CHOURY (BIRAS)
Dylan Barreau Artisan EBD,"4,9",73,07 50 82 15 37,"Route De Sorges Et, Virolles",https://www.ebd-renovation.com/,,non trouvé au registre,,
Euro Bâtiment couvreur certifié,"4,4",66,06 95 06 51 03,3 Les Combes,https://www.euro-batiment.fr/,,non trouvé au registre,,
MaisonSûr Périgueux,"4,2",60,0 800 00 04 17,145 Rue de l'Innovation,https://www.maisonsur.com/,contact@maisonsur.com,non trouvé au registre,,
Ent Steinbach Fils,"5,0",53,07 68 17 69 93,,https://steinbach-couverture.fr/,steinbachpro24@gmail.com,43.91B — Travaux de couverture par éléments,non renseigné,ZACHARIE DANIEL STEINBACH (STEINBACH)
Entreprise Barreau - Couvreur Ramoneur Façadier,"5,0",35,06 87 24 74 92,8 Rue des Violettes,http://www.barreau-batiment.fr/,,non trouvé au registre,,
Construction Clément Virgo,"4,9",35,05 53 53 40 59,191 Imp. de Peyrelade,,,43.99C — Travaux de maçonnerie générale et gros œuvre de bâtiment,6 à 9 salariés,CLEMENT NORBERT JEAN-CLAUDE VIRGO
Amis Perchés,"4,9",40,06 95 58 25 14,810 La Rampinsolle,http://www.amisperches.com/,amisperches@gmail.com,94.99Z,1 à 2 salariés,
Technitoit Périgueux,"4,4",37,05 18 23 20 26,11 Rue des Commerces,https://www.technitoit.com/agence/perigueux,durand.b@gmail.com,43.91B — Travaux de couverture par éléments,3 à 5 salariés,
FD Rénovation - Fargeas David,"5,0",27,06 87 92 94 00,93 Rte de Chercuzac,https://fd-renovation.fr/,contact@fd-renovation.fr,non trouvé au registre,,
Duval Entreprise de Couverture Périgueux,"5,0",25,07 49 69 60 90,7 Rue des Deux Ponts,https://duval-couvreur.fr/,frantz.sf.renovation@gmail.com,non trouvé au registre,,
Atom Toiture Couvreur,"5,0",29,07 59 12 54 04,78 Av. Maréchal Juin,https://atomtoiture.fr/,contact@atomtoiture.fr,non trouvé au registre,,
Général Toiture Façade,"4,7",16,07 75 47 16 64,208 Rte de Bordeaux,https://general-toiture-facade.fr/,,43.99A,non renseigné,
Samuel D Couverture 24 Périgueux,"5,0",16,06 02 19 91 44,23 Rue Gambetta,https://samuel-dominique-couverture-24.fr/,,non trouvé au registre,,
SAS Lafaye Batiment,"4,3",16,05 53 90 72 66,"Lieu-dit Les Tilleuls, 70 Rte du Pigeonnier",https://www.lafaye-sas.com/,lafayebatiment@orange.fr,49.32Z,non renseigné,ROMAIN LAFAY (LAFAY)
Olivier Gouttieres,"4,3",15,06 11 27 28 56,117 Imp. Murat,,,43.91B — Travaux de couverture par éléments,1 à 2 salariés,OLIVIER PHILIPPE FAURE (FAURE)
