nom,note,avis,telephone,adresse,site_web,email,source_email,date_ajout,statut,secteur_naf,tranche_effectif,dirigeant
Lagorce Rénovation Dordogne,4.7,116,05 53 08 76 88,125 Av. de Borie Marty Périgueux 24000,,contact@lagorcerenovation.fr,annuaire Infobel,2026-07-20,À contacter,non trouvé au registre,,
PONDVILLE,4.8,77,07 60 01 09 52,19 Rue des Fossés Coulounieix-Chamiers 24660,http://pondville.fr/,pondville@hotmail.com,site web,2026-07-20,À contacter,non trouvé au registre,,
Bernard Frères Sarl,4.8,57,05 53 08 66 70,101 Av. Paul Vaillant Couturier Périgueux 24000,,,,2026-07-20,À contacter,non trouvé au registre,10 à 19 salariés,Holding (structure de groupe)
Djelec énergie,4.8,42,06 10 23 15 52,3 Rue Jean-Antoine Chaptal Périgueux 24000,,,,2026-07-20,À contacter,43.21A — Travaux d'installation électrique dans tous locaux,non renseigné,JEROME LEVESQUE (LEVESQUE)
SAS Marty Énergies,4.1,40,05 53 08 95 27,11 Bd de l'Horizon Chancelade 24650,https://marty-energies-iokls7m.gamma.site/,contact@martyenergies.fr,site web,2026-07-20,À contacter,non trouvé au registre,20 à 49 salariés,Jacques MARTY
Cap'élec Energies,4.7,28,05 53 05 04 67,19 Rue de la Rivière Chancel Trélissac 24750,https://www.capelec24.fr/?utm_source=gmb,contact@capelec24.fr,site web,2026-07-20,À contacter,43.21A — Travaux d'installation électrique dans tous locaux,10 à 19 salariés,
Entreprise Bivi Plaquiste Perigueux - Peinture - Électricien,5.0,27,06 19 90 35 37,20 Rue Aubergerie Périgueux 24000,http://www.bivi.construction.com/,,,2026-07-20,À contacter,non trouvé au registre,,
Lachaux électricité,5.0,26,06 79 30 02 73,1633 Rte des Coteaux Coulounieix-Chamiers 24660,https://lachauxelectricite.wixsite.com/lachaux-electricite,lachaux.electricite@gmail.com,site web,2026-07-20,À contacter,non trouvé au registre,,
Ecoludom,4.9,25,06 65 51 97 83,1180 Rte de Razac Chancelade 24650,https://ecoludom.fr/,contact@ecoludom.fr,site web,2026-07-20,À contacter,non trouvé au registre,,
Electricien - E.G.N.G Nicolas Giraudeau,4.5,24,06 20 76 71 31,Rue du Château d'Eau Coulounieix-Chamiers 24660,http://www.egng-electricien.fr/,,aucun,2026-07-20,À contacter,non trouvé au registre,,
SV elec,5.0,21,06 04 07 71 43,Coulounieix-Chamiers 24660,https://www.facebook.com/profile.php?id=61550686238860,,réseau social (non scrapé),2026-07-20,À contacter,non trouvé au registre,,
Telelec Datacom,4.9,17,05 53 07 30 30,Avenue Marcel Paul Coulounieix-Chamiers 24660,http://www.telelec.fr/,contact@telelec.fr,site web,2026-07-20,À contacter,non trouvé au registre,,
