nom,note,avis,telephone,adresse,site_web,email,source_email,date_ajout,statut,secteur_naf,tranche_effectif,dirigeant
ETS Lévesque,4.3,114,05 53 46 60 56,"Les Farges, 3061 Route Nationale 21, 24660 Notre-Dame-de-Sanilhac",https://ets-leveque.fr,contact@ets-leveque.fr,site web (client existant),2026-07-20,Contacté,43.22A — Travaux d'installation d'eau et de gaz en tous locaux,20 à 49 salariés,Holding (structure de groupe)
R.E.P 24,4.7,103,05 53 53 12 32,172 Av. Winston Churchill Coulounieix-Chamiers 24660,http://www.rep-24.com/?utm_source=gmb,rep24@rep.services,site web,2026-07-20,À contacter,43.22B — Travaux d'installation d'équipements thermiques et de climatisation,6 à 9 salariés,GUYLAINE CLAIRE CORET (FRESQUET)
Entreprise Carlos MARTINS,5.0,92,05 53 08 71 35,1 Chem. de Polignac Boulazac 24750,http://www.facebook.com/pg/Entreprise-Carlos-Martins-237878743271646,entreprise.carlos-martins@orange.fr,bannière Facebook (lecture visuelle),2026-07-20,À contacter,Chauffagiste / pompes à chaleur (Qualibat RGE),"7 salariés (effectif moyen, Qualibat)",
Dépannage Gaz - Etablissement AUBIN,4.7,61,05 53 08 47 42,1 Rue des Alsaciens Boulazac 24750,https://www.xn--plombier-prigueux-ktb.fr/,contact@depannagegaz-aubin.fr,site web,2026-07-20,À contacter,43.22A — Travaux d'installation d'eau et de gaz en tous locaux,10 à 19 salariés,Cédric AUBIN
Allo Plombier 24,4.5,59,06 86 36 50 39,22 Rue Victor Hugo Périgueux 24000,https://alloplombier24.com/,contact@alloplombier24.com,site web,2026-07-20,À contacter,43.22A — Travaux d'installation d'eau et de gaz en tous locaux,1 à 2 salariés,Rachid OUCHAOU
CONFORT CHAUFFAGE SANITAIRE CRESPIN,4.0,51,05 53 53 23 27,36 Av. Henri Deluc Périgueux 24000,http://www.ccs-crespin.fr/,contact@ccs-crespin.fr,site web,2026-07-20,À contacter,43.22A — Travaux d'installation d'eau et de gaz en tous locaux,10 à 19 salariés,FREDERIC JACQUES CRESPIN
Veliu Plomberie,5.0,41,07 67 72 11 58,6 Rdpt Frédéric Chopin Coulounieix-Chamiers 24660,https://www.veliu-plomberie.com/,veliuplomberie@gmail.com,annuaire mairie Coulounieix-Chamiers,2026-07-20,À contacter,43.22A — Travaux d'installation d'eau et de gaz en tous locaux,non renseigné,OLIGERT VELIU
JBS PLOMBERIE,5.0,34,06 03 35 63 08,13 Rue de Landry Périgueux 24750,https://plombier-perigueux.fr,jbsplomberie24@gmail.com,"Facebook (via Pages Jaunes, onglet Coordonnées)",2026-07-20,À contacter,43.22A — Travaux d'installation d'eau et de gaz en tous locaux,1 à 2 salariés,
ASJB - Chauffage Salle de bains Plomberie,4.1,32,05 53 08 31 45,103 Av. Michel Grandou Trélissac 24750,https://www.tendancebaineto.fr/,contact@asjb.fr,site web,2026-07-20,À contacter,43.22A — Travaux d'installation d'eau et de gaz en tous locaux,3 à 5 salariés,
SA Sylvain Salleron,3.9,22,05 53 53 20 99,145 Bd du Petit Change Périgueux 24000,https://salleron.fr,contact@salleron.fr,site web,2026-07-20,À contacter,43.22B — Travaux d'installation d'équipements thermiques et de climatisation,20 à 49 salariés,MARIE-CLAIRE GOURGOUSSE
